Pumpen_ID;Bearbeitungstemperatur_C;Montagezeit_Min;Drehmoment_Nm;Maschinenlaufzeit_Min;Mitarbeitererfahrung_Jahre;Nacharbeit_vor_Pruefung
P0001;71.0;40.5;61.1;54.2;7.6;Nein
P0002;72.0;46.5;53.1;57.7;6.6;Nein
P0003;68.3;37.3;45.2;47.1;7.6;Nein
P0004;68.4;36.5;52.7;52.8;7.0;Nein
P0005;75.8;55.4;64.7;65.3;3.8;Nein
P0006;66.2;37.1;46.2;49.0;6.3;Nein
P0007;69.3;36.8;46.4;45.5;5.8;Nein
P0008;74.6;58.8;56.4;69.7;5.8;Nein
P0009;78.1;44.7;43.4;56.2;4.4;Nein
P0010;73.2;38.4;49.2;47.4;4.1;Nein
P0011;69.1;35.7;45.1;48.2;3.1;Nein
P0012;69.4;38.1;44.1;53.2;9.6;Nein
P0013;65.0;45.5;48.9;57.2;11.2;Nein
P0014;73.5;41.6;50.8;50.4;0.2;Nein
P0015;74.0;39.3;35.2;51.2;9.7;Nein
P0016;67.6;35.4;38.3;45.6;7.4;Nein
P0017;78.7;34.8;44.2;47.8;4.8;Nein
P0018;79.9;50.5;56.4;66.7;7.0;Nein
P0019;70.8;37.9;42.0;50.1;6.1;Nein
P0020;72.1;33.3;43.1;46.6;3.2;Nein
P0021;68.0;23.6;42.2;37.4;6.1;Nein
P0022;76.1;48.4;51.6;58.7;6.9;Nein
P0023;68.0;35.1;46.3;46.6;6.9;Nein
P0024;74.4;51.4;54.1;64.8;7.1;Nein
P0025;;59.7;63.5;75.8;3.7;Nein
P0026;74.0;39.3;48.3;54.3;3.9;Nein
P0027;66.9;31.8;42.2;44.5;5.6;Nein
P0028;71.4;38.5;51.8;46.2;1.8;Nein
P0029;66.8;48.8;48.1;61.4;7.6;Nein
P0030;67.5;51.1;51.8;63.9;4.2;Nein
P0031;73.4;30.3;41.7;42.6;2.5;Nein
P0032;73.8;42.8;48.5;52.1;7.2;Nein
P0033;74.0;43.5;50.7;58.1;5.7;Nein
P0034;70.9;31.9;42.2;36.5;5.7;Nein
P0035;68.3;32.1;40.3;47.7;9.0;Nein
P0036;71.7;42.5;56.1;54.0;3.7;Nein
P0037;75.1;48.8;57.1;53.1;4.8;Nein
P0038;72.1;46.6;39.4;56.7;11.3;Nein
P0039;77.2;63.1;63.6;74.3;0.8;Nein
P0040;68.9;46.4;49.1;60.4;5.0;Nein
P0041;80.0;48.8;57.1;63.6;4.0;Nein
P0042;69.5;60.9;57.9;78.9;6.3;Nein
P0043;71.6;46.5;58.6;62.1;2.4;Nein
P0044;75.0;51.5;58.6;64.6;8.8;Nein
P0045;69.1;45.2;58.6;58.6;5.8;Nein
P0046;73.9;52.8;49.4;68.5;1.8;Nein
P0047;71.8;33.1;42.2;43.2;2.3;Nein
P0048;74.6;64.7;64.0;83.8;7.0;Nein
P0049;71.2;47.7;46.2;63.5;1.9;Nein
P0050;103.5;54.8;55.9;67.9;6.3;Nein
P0051;66.3;35.7;43.7;51.5;5.5;Nein
P0052;69.9;46.5;60.5;56.0;2.8;Nein
P0053;75.5;63.1;68.9;73.6;10.8;Nein
P0054;77.5;57.5;70.4;74.3;6.7;Nein
P0055;66.9;26.7;42.7;38.1;9.4;Nein
P0056;70.8;38.1;42.8;47.7;4.3;Nein
P0057;72.2;41.4;41.9;55.7;10.9;Nein
P0058;72.2;39.2;47.0;53.5;5.8;Nein
P0059;78.5;45.6;61.8;52.0;5.8;Nein
P0060;74.3;48.6;53.7;62.0;5.4;Nein
P0061;72.7;53.3;43.7;65.9;5.4;Nein
P0062;75.2;68.6;70.3;80.9;1.2;Nein
P0063;70.0;33.2;48.0;47.4;7.6;Nein
P0064;70.5;38.8;53.4;49.7;5.4;Nein
P0065;68.4;54.0;49.2;65.1;4.2;Nein
P0066;77.7;61.0;53.6;71.7;6.3;Nein
P0067;80.1;58.0;62.1;74.1;5.0;Nein
P0068;70.0;31.2;48.4;41.0;5.0;Nein
P0069;79.1;59.0;53.3;68.6;2.5;Nein
P0070;63.9;43.5;36.4;58.3;1.6;Nein
P0071;73.9;45.2;58.8;57.9;9.2;Nein
P0072;76.0;47.6;52.3;62.4;7.1;Nein
P0073;75.2;46.5;60.3;62.8;4.5;Ja
P0074;65.4;37.2;38.2;52.7;6.2;Nein
P0075;76.6;95.0;56.9;69.9;1.1;Nein
P0076;76.3;42.4;51.5;57.0;4.5;Nein
P0077;65.5;35.5;40.5;48.2;8.1;Nein
P0078;67.8;39.6;40.3;53.9;7.3;Nein
P0079;79.4;62.4;58.3;70.1;7.8;Nein
P0080;75.6;62.9;61.1;75.7;6.7;Nein
P0081;69.0;46.0;57.9;57.1;8.8;Nein
P0082;74.5;46.9;47.2;50.0;1.4;Nein
P0083;71.0;48.2;57.9;66.1;9.5;Nein
P0084;72.2;46.5;61.8;61.9;15.2;Nein
P0085;82.5;62.5;70.8;77.6;8.7;Nein
P0086;72.8;44.5;46.3;60.1;9.5;Nein
P0087;84.5;63.5;65.3;78.3;0.2;Nein
P0088;77.6;48.7;58.2;58.3;6.9;Nein
P0089;74.1;41.8;58.0;55.1;7.8;Nein
P0090;76.2;50.4;62.9;68.2;;Nein
P0091;69.6;48.4;53.0;58.2;5.5;Nein
P0092;70.0;44.3;45.1;57.1;7.8;Ja
P0093;70.4;49.4;60.8;66.0;1.0;Nein
P0094;74.5;39.6;54.4;51.3;5.4;Nein
P0095;73.5;39.0;54.0;50.4;0.2;Nein
P0096;74.5;48.4;55.1;58.5;4.5;Ja
