Pumpen_ID;Pumpentyp;Produktionsdatum;Produktionslinie;Schicht;Materialcharge;Lieferant
P0001;KP-300;2025-01-27;Linie 1;Früh;CH-012;Lieferant A
P0002;KP-200;2025-04-19;Linie 3;Früh;CH-012;Lieferant D
P0003;KP-200;2025-06-10;Linie 3;Früh;CH-014;Lieferant C
P0004;KP-200;2025-06-24;Linie 1;Früh;CH-015;Lieferant B
P0005;KP-300;2025-04-13;Linie 3;Früh;CH-006;Lieferant A
P0006;KP-100;2025-05-30;Linie 2;Früh;CH-015;Lieferant C
P0007;KP-100;2025-01-03;Linie 1;Nacht;CH-009;Lieferant C
P0008;KP-300;2025-06-10;Linie 3;Spät;CH-002;Lieferant C
P0009;KP-100;2025-03-03;Linie 3;Nacht;CH-005;Lieferant D
P0010;KP-200;2025-05-19;Linie 1;Nacht;CH-004;Lieferant B
P0011;KP-100;2025-06-11;Linie 2;Spät;CH-012;Lieferant A
P0012;KP-200;2025-01-25;Linie 1;Spät;CH-002;Lieferant B
P0013;KP-200;2025-01-20;Linie 1;Früh;CH-014;Lieferant B
P0014;KP-200;2025-01-01;Linie 1;Früh;CH-007;Lieferant A
P0015;KP-100;2025-03-22;Linie 3;Spät;CH-012;Lieferant C
P0016;KP-100;2025-01-11;Linie 1;Nacht;CH-010;Lieferant A
P0017;KP-100;2025-06-09;Linie 1;Spät;CH-008;Lieferant A
P0018;KP-300;2025-05-16;Linie 2;Spät;CH-011;Lieferant E
P0019;KP-100;2025-01-14;Linie 2;Früh;CH-015;Lieferant B
P0020;KP-100;2025-01-10;Linie 1;Nacht;CH-009;Lieferant E
P0021;KP-100;2025-06-08;Linie 1;Spät;CH-007;Lieferant D
P0022;KP-200;2025-06-29;Linie 2;Spät;CH-003;Lieferant A
P0023;KP-100;2025-03-31;Linie 1;Nacht;CH-005;Lieferant E
P0024;KP-300;2025-05-28;Linie 1;Spät;CH-007;Lieferant C
P0025;KP-400;2025-03-18;Linie 3;Spät;CH-002;Lieferant C
P0026;KP-200;2025-04-21;Linie 2;Nacht;CH-004;Lieferant B
P0027;KP-100;2025-03-02;Linie 2;Spät;CH-013;Lieferant A
P0028;KP-200;2025-01-28;Linie 1;Spät;CH-013;Lieferant A
P0029;KP-200;2025-05-10;Linie 3;Früh;CH-015;Lieferant D
P0030;KP-200;2025-03-11;Linie 1;Früh;CH-004;Lieferant D
P0031;KP-100;2025-01-06;Linie 3;Früh;CH-012;Lieferant D
P0032;KP-200;2025-05-05;Linie 2;Früh;CH-007;Lieferant A
P0033;KP-200;2025-02-16;Linie 1;Spät;CH-008;Lieferant A
P0034;KP-100;2025-01-18;Linie 2;Nacht;CH-011;Lieferant B
P0035;KP-100;2025-01-30;Linie 2;Spät;CH-010;Lieferant A
P0036;KP-200;2025-06-25;Linie 3;Früh;CH-005;Lieferant C
P0037;KP-300;2025-04-28;Linie 1;Nacht;CH-014;Lieferant C
P0038;KP-100;2025-04-26;Linie 3;Nacht;CH-015;Lieferant A
P0039;KP-400;2025-01-22;Linie 2;Früh;CH-004;Lieferant A
P0040;KP-200;2025-03-26;Linie 2;Früh;CH-009;Lieferant E
P0041;KP-300;2025-03-14;Linie 1;Spät;CH-010;Lieferant D
P0042;KP-300;2025-04-23;Linie 1;Früh;CH-008;Lieferant B
P0043;KP-300;2025-04-17;Linie 3;Früh;CH-009;Lieferant A
P0044;KP-300;2025-03-09;Linie 2;Nacht;CH-004;Lieferant A
P0045;KP-300;2025-06-10;Linie 2;Spät;CH-013;Lieferant E
P0046;KP-200;2025-06-26;Linie 3;Nacht;CH-008;Lieferant B
P0047;KP-100;2025-06-22;Linie 2;Nacht;CH-001;Lieferant C
P0048;KP-400;2025-02-11;Linie 2;Früh;CH-002;Lieferant B
P0049;KP-200;2025-04-29;Linie 2;Nacht;CH-009;Lieferant C
P0050;KP-300;2025-02-10;Linie 1;Nacht;CH-004;Lieferant C
P0051;KP-100;2025-03-04;Linie 2;Früh;CH-008;Lieferant B
P0052;KP-300;2025-05-31;Linie 1;Früh;CH-014;Lieferant D
P0053;KP-400;2025-01-12;Linie 1;Früh;CH-007;Lieferant D
P0054;KP-400;2025-05-15;Linie 1;Früh;CH-002;Lieferant D
P0055;KP-100;2025-06-10;Linie 1;Spät;CH-006;Lieferant C
P0056;KP-100;2025-03-18;Linie 2;Nacht;CH-012;Lieferant B
P0057;KP-100;2025-05-30;Linie 3;Spät;CH-015;Lieferant A
P0058;KP-200;2025-04-27;Linie 2;Spät;CH-005;Lieferant B
P0059;KP-300;2025-01-13;Linie 1;Spät;CH-012;Lieferant C
P0060;KP-300;2025-06-10;Linie 3;Spät;CH-002;Lieferant A
P0061;KP-200;2025-02-12;Linie 3;Spät;CH-014;Lieferant E
