Pumpen_ID;Pruefdruck_bar;Dichtheitsverlust_bar;Vibration_mm_s;Pruefergebnis;Fehlerart;Ausschusskosten_EUR
P0001;10.09;0.42;2.99;Ausschuss;Undichtigkeit;1473.15
P0002;10.61;0.15;1.82;Bestanden;Kein Fehler;0.0
P0003;10.14;0.67;4.48;Nacharbeit;Undichtigkeit;456.91
P0004;10.88;0.03;2.45;Bestanden;Kein Fehler;0.0
P0005;11.1;0.07;2.93;Bestanden;Kein Fehler;0.0
P0006;10.58;0.14;2.14;Bestanden;Kein Fehler;0.0
P0007;10.09;0.22;2.82;Bestanden;Kein Fehler;0.0
P0008;9.94;0.17;2.8;Bestanden;Kein Fehler;0.0
P0009;10.51;0.17;3.33;Bestanden;Kein Fehler;0.0
P0010;10.12;0.12;3.04;Bestanden;Kein Fehler;0.0
P0011;10.47;0.1;1.47;Bestanden;Kein Fehler;0.0
P0012;10.34;0.28;3.54;Nacharbeit;Montagefehler;221.54
P0013;10.5;0.14;2.48;Bestanden;Kein Fehler;0.0
P0014;11.03;0.11;2.43;Bestanden;Kein Fehler;0.0
P0015;11.46;0.05;2.25;Bestanden;Kein Fehler;0.0
P0016;10.38;0.05;3.39;Bestanden;Kein Fehler;0.0
P0017;11.54;0.1;3.08;Bestanden;Kein Fehler;0.0
P0018;9.36;0.22;5.35;Nacharbeit;Unzureichender Prüfdruck;500.33
P0019;9.86;0.06;2.58;Bestanden;Kein Fehler;0.0
P0020;11.4;0.15;2.54;Bestanden;Kein Fehler;0.0
P0021;10.23;0.21;2.28;Bestanden;Kein Fehler;0.0
P0022;10.04;0.12;2.94;Bestanden;Kein Fehler;0.0
P0023;9.87;0.24;4.48;Nacharbeit;Materialfehler;350.32
P0024;9.86;0.14;3.45;Bestanden;Kein Fehler;0.0
P0025;10.4;0.12;2.4;Bestanden;Kein Fehler;0.0
P0026;10.02;0.11;1.85;Bestanden;Kein Fehler;0.0
P0027;10.79;0.17;5.32;Nacharbeit;Erhöhte Vibration;489.07
P0028;10.2;0.33;4.27;Nacharbeit;Undichtigkeit;416.23
P0029;10.12;0.1;3.91;Bestanden;Kein Fehler;0.0
P0030;10.67;0.09;3.44;Bestanden;Kein Fehler;0.0
P0031;11.1;0.03;3.33;Bestanden;Kein Fehler;0.0
P0032;10.93;0.18;2.91;Bestanden;Kein Fehler;0.0
P0033;10.06;0.12;3.07;Bestanden;Kein Fehler;0.0
P0034;10.59;0.08;2.07;Bestanden;Kein Fehler;0.0
P0035;10.25;0.16;2.64;Bestanden;Kein Fehler;0.0
P0036;10.89;0.06;3.86;Bestanden;Kein Fehler;0.0
P0037;11.31;0.03;3.21;Bestanden;Kein Fehler;0.0
P0038;10.66;0.14;2.23;Bestanden;Kein Fehler;0.0
P0039;10.17;0.14;6.22;Ausschuss;Erhöhte Vibration;2626.3
P0040;10.11;0.11;2.41;Bestanden;Kein Fehler;0.0
P0041;11.04;0.44;6.32;Nacharbeit;Undichtigkeit;458.07
P0042;10.61;0.11;2.46;Bestanden;Kein Fehler;0.0
P0043;10.65;0.09;3.65;Bestanden;Kein Fehler;0.0
P0044;10.51;0.13;3.81;Bestanden;Kein Fehler;0.0
P0045;10.75;0.22;3.22;Bestanden;Kein Fehler;0.0
P0046;10.73;0.11;2.71;Bestanden;Kein Fehler;0.0
P0047;10.44;0.02;3.27;Bestanden;Kein Fehler;0.0
P0048;9.98;0.05;4.34;Bestanden;Kein Fehler;0.0
P0049;9.96;0.18;2.49;Bestanden;Kein Fehler;0.0
P0050;10.31;0.2;4.04;Bestanden;Kein Fehler;0.0
P0051;10.26;0.15;2.33;Bestanden;Kein Fehler;0.0
P0052;10.54;0.23;2.26;Bestanden;Kein Fehler;0.0
P0053;10.44;0.15;2.73;Bestanden;Kein Fehler;0.0
P0054;10.47;0.08;2.34;Bestanden;Kein Fehler;0.0
P0055;10.76;0.12;2.11;Bestanden;Kein Fehler;0.0
P0056;10.68;0.13;2.42;Bestanden;Kein Fehler;0.0
P0057;10.55;0.16;3.39;Bestanden;Kein Fehler;0.0
P0058;11.08;0.07;4.52;Bestanden;Kein Fehler;0.0
P0059;10.18;0.14;3.26;Bestanden;Kein Fehler;0.0
P0060;10.31;0.13;3.11;Bestanden;Kein Fehler;0.0
P0061;10.09;0.22;4.11;Bestanden;Kein Fehler;0.0
P0062;10.69;0.18;1.41;Bestanden;Kein Fehler;0.0
P0063;10.29;0.17;2.62;Bestanden;Kein Fehler;0.0
P0064;9.59;0;7.14;Nacharbeit;Erhöhte Vibration;137.34
P0065;11.67;0.15;3.04;Bestanden;Kein Fehler;0.0
P0066;10.2;0.08;2.5;Bestanden;Kein Fehler;0.0
P0067;9.93;0.3;6.04;Nacharbeit;Erhöhte Vibration;357.59
P0068;10.41;0.09;2.94;Bestanden;Kein Fehler;0.0
P0069;10.91;0.02;3.29;Bestanden;Kein Fehler;0.0
P0070;10.93;0.12;4.41;Bestanden;Kein Fehler;0.0
P0071;10.34;0.22;1.7;Bestanden;Kein Fehler;0.0
P0072;9.47;0.58;5.05;Nacharbeit;Undichtigkeit;417.31
P0073;10.88;0.06;2.53;Bestanden;Kein Fehler;0.0
P0074;9.11;0.35;2.99;Nacharbeit;Undichtigkeit;264.21
P0075;10.56;0.11;2.75;Bestanden;Kein Fehler;0.0
P0076;9.99;0.23;3.37;Bestanden;Kein Fehler;0.0
P0077;10.55;0.19;1.53;Bestanden;Kein Fehler;0.0
P0078;10.97;0.17;2.46;Bestanden;Kein Fehler;0.0
P0079;11.2;0.12;2.09;Bestanden;Kein Fehler;0.0
P0080;9.1;0.42;6.02;Nacharbeit;Erhöhte Vibration;272.15
P0081;10.18;0;2.79;Bestanden;Kein Fehler;0.0
P0082;10.41;0.04;3.53;Bestanden;Kein Fehler;0.0
P0083;9.29;0.38;3.57;Nacharbeit;Unzureichender Prüfdruck;467.71
